density,lake_area,survive_percent,reached
0.2008,3600,0.9992198136884431,0.0
0.2008,4900,0.9991850629739832,0.0
0.2008,6400,0.9992289638140882,0.0
0.2008,8100,0.9992241519704533,0.0
0.2008,10000,0.9991615538081894,0.0
0.2008,12100,0.9990635585003745,0.0
0.2008,14400,0.9990807079568454,0.0
0.22078,100,0.9990984162690537,0.0
0.22078,400,0.9991109118334678,0.0
0.22078,900,0.9991266305278399,0.0
0.22078,1600,0.9990783302112988,0.0
0.22078,2500,0.9990878923585177,0.0
0.22078,3600,0.9991221943980902,0.0
0.22078,4900,0.9990547199376778,0.0
0.22078,6400,0.9989661813970818,0.0
0.22078,8100,0.9989619940403422,0.0
0.22078,10000,0.9989797704773905,0.0
0.22078,12100,0.9990190004002015,0.0
0.22078,14400,0.9989164697879414,0.0
0.24076000000000003,100,0.9990013279398993,0.0
0.24076000000000003,400,0.9989562900739788,0.0
0.24076000000000003,900,0.9989954894024721,0.0
0.24076000000000003,1600,0.9989638749772028,0.0
0.24076000000000003,2500,0.9988705618283723,0.0
0.24076000000000003,3600,0.998947946749561,0.0
0.24076000000000003,4900,0.9989712446609982,0.0
0.24076000000000003,6400,0.9989032303488256,0.0
0.24076000000000003,8100,0.9988903227384551,0.0
0.24076000000000003,10000,0.9988411925960186,0.0
0.24076000000000003,12100,0.998771661089245,0.0
0.24076000000000003,14400,0.9987161915005163,0.0
0.26074,100,0.9987536612692343,0.0
0.26074,400,0.9988017389007713,0.0
0.26074,900,0.9987370272535124,0.0
0.26074,1600,0.9987867435773201,0.0
0.26074,2500,0.9987840335812754,0.0
0.26074,3600,0.9987357068144688,0.0
0.26074,4900,0.9986990882638979,0.0
0.26074,6400,0.9986459739782241,0.0
0.26074,8100,0.998639021601991,0.0
0.26074,10000,0.9986034565656697,0.0
0.26074,12100,0.9985422757951027,0.0
0.26074,14400,0.9985591266232686,0.0
0.28072,100,0.9986037772302744,0.0
0.28072,400,0.9985768368945926,0.0
0.28072,900,0.9985908151919526,0.0
0.28072,1600,0.9985585914879543,0.0
0.28072,2500,0.9986012481651815,0.0
0.28072,3600,0.9984891130194864,0.0
0.28072,4900,0.9984818054007982,0.0
0.28072,6400,0.9984380679464969,0.0
0.28072,8100,0.9983272223884069,0.0
0.28072,10000,0.9984888395675003,0.0
0.28072,12100,0.998261296996693,0.0
0.28072,14400,0.9982353365454285,0.0
0.3007,100,0.9983714271713132,0.0
0.3007,400,0.9982966125081726,0.0
0.3007,900,0.9983598905564984,0.0
0.3007,1600,0.9983790878700084,0.0
0.3007,2500,0.9984028229832,0.0
0.3007,3600,0.9983222352705873,0.0
0.3007,4900,0.9981592650500613,0.0
0.3007,6400,0.9983174778919169,0.0
0.3007,8100,0.9982972784172968,0.0
0.3007,10000,0.998074229985562,0.0
0.3007,12100,0.998014767724917,0.0
0.3007,14400,0.9979406690551225,0.0
0.32068,100,0.9981299590078165,0.0
0.32068,400,0.9981414364948462,0.0
0.32068,900,0.9980843839398107,0.0
0.32068,1600,0.9981507897897788,0.0
0.32068,2500,0.9980369778983498,0.0
0.32068,3600,0.9980184782493631,0.0
0.32068,4900,0.9980067117939192,0.0
0.32068,6400,0.9978268023360889,0.0
0.32068,8100,0.9979330531264549,0.0
0.32068,10000,0.9977877225357659,0.0
0.32068,12100,0.9977026415180894,0.0
0.32068,14400,0.9976919367507873,0.0
0.34066,100,0.9977067397211277,0.0
0.34066,400,0.9978568289865708,0.0
0.34066,900,0.9977387279236621,0.0
0.34066,1600,0.9977969175447162,0.0
0.34066,2500,0.9976351183440163,0.0
0.34066,3600,0.997778379761722,0.0
0.34066,4900,0.9977365327881245,0.0
0.34066,6400,0.997896838318789,0.0
0.34066,8100,0.9975143247301154,0.0
0.34066,10000,0.9975191820152615,0.0
0.34066,12100,0.9972914494765497,0.0
